,Title,Year,Stream on,RT score,Letterboxd score,Director,Cast,Genres,Description,Runtime,Language,Poster
0,Big Night,1996,"<img src='https://www.themoviedb.org/t/p/original/Ajqyt5aNxNGjmF9uOfxArGrdf3X.jpg'height='50', style='border-radius: 10%;'></img>",97,3.9,Stanley Tucci,"Marc Anthony, Tony Shalhoub, Stanley Tucci","Drama, Romance","Primo and Secondo, two immigrant brothers, pin their hopes on a banquet honoring Louis Prima to save their struggling restaurant.",107,en,https://image.tmdb.org/t/p/w185/nnQrJT4LCj6v2LjboUogkcRUPBr.jpg
1,RoboCop,1987,Unavailable,-,-,Paul Verhoeven,"Peter Weller, Nancy Allen, Dan O'Herlihy","Action, Thriller, Science Fiction","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",102,en,https://image.tmdb.org/t/p/w185/hHtOgGb3NihlyRATHlKPaFApbrd.jpg
2,Tongues Untied,1989,Unavailable,100,4.3,Marlon Riggs,"Marlon Riggs, Essex Hemphill, Brian Freeman",Documentary,"Marlon Riggs, with assistance from other gay Black men, especially poet Essex Hemphill, celebrates Black men loving Black men as a revolutionary act. The film intercuts footage of Hemphill reciting his poetry, Riggs telling the story of his growing up, scenes of men in social intercourse and dance, and various comic riffs, including a visit to the ""Institute of Snap!thology,"" where men take lessons in how to snap their fingers: the sling snap, the point snap, the diva snap.",55,en,https://image.tmdb.org/t/p/w185/wbrcRd695aB8D6pkWh0hSurKRbO.jpg
3,Enough Said,2013,Unavailable,95,3.5,Nicole Holofcener,"Julia Louis-Dreyfus, James Gandolfini, Catherine Keener","Comedy, Drama, Romance","Eva is a divorced soon-to-be empty-nester wondering about her next act. Then she meets Marianne, the embodiment of her perfect self. Armed with a restored outlook on being middle-aged and single, Eva decides to take a chance on her new love interest Albert — a sweet, funny and like-minded man. But things get complicated when Eva discovers that Albert is in fact the dreaded ex–husband of Marianne...",93,en,https://image.tmdb.org/t/p/w185/p5naJg0K8xF0h0HWEfiz6rc9lC4.jpg
4,The Sunset Limited,2011,"<img src='https://www.themoviedb.org/t/p/original/Ajqyt5aNxNGjmF9uOfxArGrdf3X.jpg'height='50', style='border-radius: 10%;'></img>",68,3.7,Tommy Lee Jones,"Tommy Lee Jones, Samuel L. Jackson","Drama, TV Movie","A deeply religious black ex-con thwarts the suicide attempt of an asocial white college professor who tries to throw himself in front of an oncoming subway train, 'The Sunset Limited.' As the one attempts to connect on a rational, spiritual and emotional level, the other remains steadfast in his hard-earned despair. Locked in a philosophical debate, both passionately defend their personal credos and try to convert the other.",90,en,https://image.tmdb.org/t/p/w185/8cwqylJVbCfMflcjXQ71CwsXdpf.jpg
5,The Banshees of Inisherin,2022,Unavailable,97,4.2,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon","Drama, Comedy","Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",114,en,https://image.tmdb.org/t/p/w185/4yFG6cSPaCaPhyJ1vtGOtMD1lgh.jpg
6,Victoria,2015,Unavailable,82,3.9,Sebastian Schipper,"Laia Costa, Frederick Lau, Franz Rogowski","Crime, Thriller, Romance",A young Spanish woman who has newly moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,138,de,https://image.tmdb.org/t/p/w185/bnlbNHpRPkP86m6iAkOLZlqK0Z1.jpg
7,Raging Bull,1980,Unavailable,93,4.2,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci","Drama, History","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",129,en,https://image.tmdb.org/t/p/w185/rEviyDWNbAFmvvCPlkMRPAGUElG.jpg
8,Eyes Wide Shut,1999,"<img src='https://www.themoviedb.org/t/p/original/Ajqyt5aNxNGjmF9uOfxArGrdf3X.jpg'height='50', style='border-radius: 10%;'></img>",76,4.0,Stanley Kubrick,"Tom Cruise, Nicole Kidman, Sydney Pollack","Drama, Thriller, Mystery","After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",159,en,https://image.tmdb.org/t/p/w185/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg
9,WALL·E,2008,Unavailable,95,4.1,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin","Animation, Family, Science Fiction","WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",98,en,https://image.tmdb.org/t/p/w185/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg
10,Häxan,1922,Unavailable,-,-,Benjamin Christensen,"Benjamin Christensen, Ella La Cour, Emmy Schønfeld","Documentary, Horror, History","Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.",105,sv,https://image.tmdb.org/t/p/w185/v53aFWdXYwZJCiblIsC0ZqiS90r.jpg
11,Chungking Express,1994,Unavailable,88,4.3,Wong Kar-wai,"Takeshi Kaneshiro, Brigitte Lin, Tony Leung Chiu-wai","Drama, Comedy, Romance","Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",103,cn,https://image.tmdb.org/t/p/w185/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg
12,Sherlock Jr.,1924,Unavailable,93,4.3,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton","Action, Comedy, Mystery","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",45,en,https://image.tmdb.org/t/p/w185/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg
13,"Paris, Texas",1984,Unavailable,94,4.3,Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell",Drama,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",145,en,https://image.tmdb.org/t/p/w185/6NuFYT1f1rG0AeIVTJEgsRa7AOi.jpg
14,La La Land,2016,"<img src='https://www.themoviedb.org/t/p/original/emthp39XA2YScoYL1p0sdbAH2WA.jpg'height='50', style='border-radius: 10%;'></img>",91,4.0,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend","Comedy, Drama, Romance, Music","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",129,en,https://image.tmdb.org/t/p/w185/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg
15,Logan Lucky,2017,Unavailable,92,3.5,Steven Soderbergh,"Channing Tatum, Adam Driver, Riley Keough","Action, Comedy, Crime, Drama","Trying to reverse a family curse, brothers Jimmy and Clyde Logan set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.",118,en,https://image.tmdb.org/t/p/w185/mQrhrBaaHvRfBQq0Px3HtVbH9iE.jpg
16,Secrets & Lies,1996,Unavailable,95,4.2,Mike Leigh,"Brenda Blethyn, Marianne Jean-Baptiste, Timothy Spall",Drama,"With both her adoptive parents now dead, a black optometrist decides to make contact with her birth mother, but is shocked to find out that she is white.",142,en,https://image.tmdb.org/t/p/w185/mfWfW6DfD4oBTFmGAndaTkuPUO5.jpg
17,Infernal Affairs,2002,Unavailable,94,3.9,Andrew Lau,"Andy Lau, Tony Leung Chiu-wai, Anthony Wong","Drama, Action, Thriller, Crime, Mystery","Chan Wing Yan, a young police officer, has been sent undercover as a mole in the local mafia. Lau Kin Ming, a young mafia member, infiltrates the police force. Years later, their older counterparts, Chen Wing Yan and Inspector Lau Kin Ming, respectively, race against time to expose the mole within their midst.",101,cn,https://image.tmdb.org/t/p/w185/qdlwFWn2YdLzw5KHpMpzRY9BI7r.jpg
18,Badlands,1973,Unavailable,97,4.0,Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates","Crime, Drama, Thriller, Romance",An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,94,en,https://image.tmdb.org/t/p/w185/eJiVU3sTv9iYbytBzdaPijXsyIk.jpg
19,Lost Highway,1997,Unavailable,67,4.0,David Lynch,"Bill Pullman, Patricia Arquette, Balthazar Getty","Drama, Thriller, Mystery","A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell.",134,en,https://image.tmdb.org/t/p/w185/5POhfNeFPIi4VUNwCTaK85sh98r.jpg
20,Revolutionary Road,2008,Unavailable,67,3.5,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, Kathy Bates","Drama, Romance",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.,119,en,https://image.tmdb.org/t/p/w185/63PKnmHjaDcTAjZIfj6bWVN8gvw.jpg
21,Nomadland,2020,Unavailable,93,3.8,Chloé Zhao,"Frances McDormand, David Strathairn, Linda May",Drama,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",108,en,https://image.tmdb.org/t/p/w185/8Vc5EOUEIF1EUXuX9eLFf7BvN3P.jpg
22,Zola,2020,"<img src='https://www.themoviedb.org/t/p/original/emthp39XA2YScoYL1p0sdbAH2WA.jpg'height='50', style='border-radius: 10%;'></img>",88,3.5,Janicza Bravo,"Taylour Paige, Riley Keough, Colman Domingo","Comedy, Crime","A waitress agrees to accompany an exotic dancer, her put-upon boyfriend, and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.",86,en,https://image.tmdb.org/t/p/w185/bJLCPROp9bmNndurwZpVnOioVpB.jpg
